bank_name,bank_code
BANK OF GHANA,BAGH
STANDARD CHARTERED,SCBL
ABSA BANK,BARC
GCB BANK,GHCB
NATIONAL INVESTMENT BANK,NIBG
UNIVERSAL BANK OF AFRICA,STBG
APEX BANK,AREX
AGRICULTURE DEVELOPMENT BANK,ADNT
SOCIETE GENERALE ,SSEB
UNIVERSAL MERCHANT BANK,MBGH
REPUBLIC BANK,HFCA
ZENITH BANK,ZEBL
ECOBANK GHANA,ECOC
CAL BANK,ACCC
FIRST ATLANTIC MERCHANT BANK,FAMC
PRUDENTIAL BANK LTD,PUBK
CBG,UBGH
STANBIC BANK,SBIC
FBN BANK LTD,INCE
BANK OF AFRICA,AMMA
GT BANK,GTBI
FIDELITY BANK,FBLI
ACCESS BANK,ABNG
FIRST NATIONAL BANK,FIRN
OMNI BANK,OMBL
GHL BANK,OMBL
